OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
2708,S/K20/30,NBA,NBA,197.74902958,1982.8046875,214.326094934635
2709,S/K20/30,NBA,NBA,159.600881632,1641.509765625,172.873894407147
2710,S/K20/WKCD/2,BHCB,40,180.01789505,2372.5078125,195.04512076355
2711,S/K20/WKCD/2,BHCB,30,226.004204579,2560.0703125,244.90901923444
2712,S/K20/WKCD/2,BHCB,50,833.557240657,44135.482421875,902.983239626692
2713,S/K20/WKCD/2,BHCB,100,336.227667154,5618.75390625,363.793908505976
2714,S/K20/WKCD/2,BHCB,33,199.308267572,2423.7734375,216.041318507009
2715,S/K20/WKCD/2,BHCB,100,419.036663969,8755.1015625,453.912075634086
2716,S/K20/WKCD/2,BHCB,70,342.172696406,8451.533203125,370.568769390811
2717,S/K20/WKCD/2,BHCB,70,458.532369653,15393.79296875,496.730694441505
2718,S/K20/WKCD/2,BHCB,70,318.940834451,5157.498046875,345.169423823308
2719,S/K20/WKCD/2,BHCB,70,186.292594083,2218.9453125,202.044344531453
2720,S/K20/WKCD/2,BHCB,70,500.380724083,13759.662109375,541.997512469071
2721,S/K20/WKCD/2,BHCB,70,170.506910096,2040.2734375,184.843567883228
2722,S/K20/WKCD/2,BHCB,70,345.244301643,8274.11328125,374.301076629776
2723,S/K20/WKCD/2,BHCB,70,420.804500293,10401.998046875,455.346896670407
2724,S/K20/WKCD/2,BHCB,70,375.262136377,10076.79296875,406.757963610991
2725,S/K20/WKCD/2,BHCB,70,441.44940372,14281.193359375,478.261113479235
2726,S/K20/WKCD/2,BHCB,70,261.444646785,4797.6796875,283.098264505909
2727,S/K20/WKCD/2,BHCB,50,921.479011595,16030.9375,999.180678885103
2728,S/K20/WKCD/2,BHCB,100,1250.20390704,23007.90234375,1354.395269926
2729,S/K20/WKCD/2,BHCB,100,200.528701139,1884.7734375,217.117432469176
2730,S/K20/WKCD/2,BHCB,70,389.778557433,10013.8515625,421.929940765673
2731,S/K20/WKCD/2,BHCB,100,142.035530331,1342.76953125,153.96000896007
2732,S/K20/WKCD/2,BHCB,70,156.538075748,1630.150390625,169.716838755512
2733,S/K20/WKCD/2,BHCB,100,629.112491632,25065.96484375,681.286665558285
2734,S/K20/WKCD/2,BHCB,70,492.327050528,9147.21875,532.847125348883
2735,S/K20/WKCD/2,BHCB,100,279.870535517,5937.380859375,303.199530485685
2736,S/K20/WKCD/2,BHCB,70,84.3408241735,337.755859375,91.3199162016753
2737,S/K20/WKCD/2,BHCB,70,390.680293939,10630.75,423.552541654282
2738,S/K20/WKCD/2,BHCS,1,2436.8150412,33796.90234375,2635.68885551187
2739,S/K20/WKCD/2,BHCS,3,5030.63841149,168445.529296875,5444.60363469649
2740,S/K20/WKCD/2,NBA,NBA,165.142056233,992.259765625,179.28325744091
2741,S/K20/WKCD/2,NBA,NBA,267.991764407,1718.298828125,291.032042043883
2742,S/K20/WKCD/2,NBA,NBA,257.963503952,1647.64453125,280.136258394258
2743,S/K20/WKCD/2,NBA,NBA,168.320234888,1016.388671875,182.737806637438
2744,S/K20/WKCD/2,NBA,NBA,174.11239511,1057.26953125,189.031164591436
2745,S/K20/WKCD/2,NBA,NBA,239.966782782,1520.96875,260.583013015788
2746,S/K20/WKCD/2,NBA,NBA,124.285663902,508.390625,134.941412795918
2747,S/K20/WKCD/2,NBA,NBA,233.869141276,1023.021484375,254.007627294667
2748,S/K20/WKCD/2,NBA,NBA,246.324199006,1904.412109375,267.454300202463
2749,S/K20/WKCD/2,NBA,NBA,128.851122654,870.07421875,139.81595949934
