OBJECTID,PLAN_NO,ZONE_LABEL,DESC_ENG,DESC_CHT,SPUSE_ENG,SPUSE_CHT,SHAPE_Leng,Shape__Area,Shape__Area_2,Shape__Length_2
2535,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,266.861289591,4528.3125,4528.3125,288.797023832582
2536,S/H8/26,C,Commercial,商業, , ,311.980185357,5689.994140625,5689.994140625,337.967179761922
2537,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,236.500905237,3485.837890625,3485.837890625,256.26296502313
2538,S/H8/26,C,Commercial,商業, , ,237.012675392,3502.5625,3502.5625,256.821300715522
2539,S/H8/26,O,Open Space,休憩用地, , ,140.441876482,1383.671875,1383.671875,152.035650145248
2540,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,263.044776727,4509.20703125,4509.20703125,284.720439059432
2541,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,444.902569394,8911.447265625,8911.447265625,482.26945740778
2542,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,252.69579224,3783.779296875,3783.779296875,273.740857189633
2543,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,108.578842829,864.626953125,864.626953125,117.622720375325
2544,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,90.2673235587,546.9375,546.9375,97.8047415038151
2545,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,78.894737993,454.578125,454.578125,85.4569797458104
2546,S/H8/26,C,Commercial,商業, , ,130.618436945,1257.6015625,1257.6015625,141.491197936172
2547,S/H8/26,R(B),Residential (Group B),住宅(乙類), , ,273.465651392,4491.95703125,4491.95703125,296.553635329672
2548,S/H8/26,O,Open Space,休憩用地, , ,301.559170451,6658.234375,6658.234375,326.562649533104
2549,S/H8/26,GB,Green Belt,綠化地帶, , ,1505.97642551,26474.470703125,26474.470703125,1631.00571208305
2550,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,498.961837379,9200.3984375,9200.3984375,539.947201871277
2551,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,223.86599519,3555.904296875,3555.904296875,242.436247659092
2552,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,413.139637591,6750.658203125,6750.658203125,447.982027901429
2553,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,160.481010249,1474.103515625,1474.103515625,174.10669395687
2554,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,385.650131143,9657.849609375,9657.849609375,417.498511253157
2555,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,214.901862225,3245.697265625,3245.697265625,232.65464454398
2556,S/H8/26,O,Open Space,休憩用地, , ,286.911551711,5418.94921875,5418.94921875,310.795275695231
2557,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,455.529988954,8946.3203125,8946.3203125,493.543344021689
2558,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,602.40324472,10729.76953125,10729.76953125,653.057893037435
2559,S/H8/26,C(1),Commercial (1),商業(1), , ,408.83088769,8467.09765625,8467.09765625,442.754066082014
2560,S/H8/26,G/IC(1),"Government, Institution or Community (1)",政府、機構或社區(1), , ,152.817006406,1585.720703125,1585.720703125,165.685732549983
2561,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,190.70145793,2649.31640625,2649.31640625,206.497507367634
2562,S/H8/26,O,Open Space,休憩用地, , ,1037.16431707,56078.43359375,56078.43359375,1122.26776122997
2563,S/H8/26,O,Open Space,休憩用地, , ,434.552189239,6159.037109375,6159.037109375,469.801760095291
2564,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,1328.85210048,42982.32421875,42982.32421875,1441.04889586125
2565,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,492.953510996,7851.443359375,7851.443359375,533.323737438714
2566,S/H8/26,O,Open Space,休憩用地, , ,142.029521,1056.796875,1056.796875,153.563397431038
2567,S/H8/26,C,Commercial,商業, , ,196.867334535,2874.134765625,2874.134765625,213.301425421129
2568,S/H8/26,GB,Green Belt,綠化地帶, , ,288.663676583,3506.53515625,3506.53515625,313.124215384617
2569,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,869.616908256,21005.93359375,21005.93359375,942.099344604444
2570,S/H8/26,OU,Other Specified Uses,其他指定用途,FUNERAL PARLOUR,殯儀館,133.669772849,1296.37890625,1296.37890625,144.864467139925
2571,S/H8/26,R(B),Residential (Group B),住宅(乙類), , ,1181.10092338,33054.447265625,33054.447265625,1279.76909883428
2572,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,287.211741687,3493.28125,3493.28125,311.598663112272
2573,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,842.093218575,26987.830078125,26987.830078125,912.283680599254
2574,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,66.4284854356,322.330078125,322.330078125,71.9669927282734
2575,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,489.469083409,12262.353515625,12262.353515625,530.434287705464
2576,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,496.203872317,16936.63671875,16936.63671875,537.885377414018
2577,S/H8/26,C/R(1),Commercial / Residential (1),商業 / 住宅(1), , ,288.577293342,5309.080078125,5309.080078125,312.475984988516
2578,S/H8/26,GB,Green Belt,綠化地帶, , ,1135.82897368,17702.19921875,17702.19921875,1229.60200039926
2579,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,247.223508886,3903.79296875,3903.79296875,267.875452549559
2580,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,313.201329143,5744.96875,5744.96875,338.871427839
2581,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,391.52320039,9018.634765625,9018.634765625,423.871899378857
2582,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,241.246206613,2498.728515625,2498.728515625,260.989215084386
2583,S/H8/26,C,Commercial,商業, , ,87.49537058,525.353515625,525.353515625,94.8513096755997
2584,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,515.307665861,13087.140625,13087.140625,557.427090178268
